Account,Date,daily_pnl,total_trades,closed_trades,wins,avg_trade_size_usd,win_rate,Broad_Sentiment,size_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0,0,5089.718248587571,0.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0,0,7976.664411764705,0.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0,0,23734.5,0.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,12,0,28186.666666666668,0.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,12,12,17248.14814814815,1.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,82,0,16058.536341463414,0.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0,0,48561.68565217392,0.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,33,0,36736.36242424243,0.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,112,23,11410.954021505377,0.20535714285714285,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,28,28,9400.588039215687,1.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,9,9,185847.0,1.0,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,371,256,23593.019856972587,0.6900269541778976,Fear,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,111,83,10576.687156308852,0.7477477477477478,Greed,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,78,78,26585.06338095238,1.0,Neutral,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,132,132,10161.056241134751,1.0,Neutral,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,16,16,32032.5,1.0,Fear,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,0,0,134600.00166666668,0.0,Neutral,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,31,31,27178.041694915253,1.0,Neutral,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,93,93,13233.776894977169,1.0,Fear,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,1,1,24958.908545454546,1.0,Fear,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,36,36,2985.797555555556,1.0,Fear,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,540,540,8371.136099843994,1.0,Fear,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,4,4,79640.0,1.0,Neutral,High Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,31,31,21491.640322580646,1.0,Fear,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,46,46,2469.9509090909087,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0,0,0.06,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,0,0,1426.8700000000001,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,25,25,2001.101153846154,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,0,0,1131.888695652174,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,63,63,852.88625,1.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,15,15,1913.523898305085,1.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0,0,0.11,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,21,21,10051.199411764705,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,0,0,2845.9646153846156,0.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,17,17,2440.6282352941175,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,28,28,2154.3915384615384,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,80,80,2194.294758064516,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,198,198,1737.369557522124,1.0,Greed,Low Size
